127.0.0.1 - - [16/Apr/2023:00:50:35 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:13:54 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6516
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:13:58 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6516
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:13:59 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6516
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:14:00 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6516
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:14:01 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6516
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:14:02 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6516
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:14:02 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6516
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:14:04 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:14:08 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:14:09 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:14:10 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:14:11 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:14:12 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:14:12 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:14:13 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:14:14 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:14:14 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:14:15 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:14:16 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:14:35 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:14:36 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:14:37 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:14:38 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:14:38 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:15:06 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:15:10 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:15:12 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:15:13 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:15:13 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:15:14 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:15:15 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:15:18 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:15:19 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:17:16 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:17:20 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:17:22 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6573
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:18:00 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6573
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:18:04 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6573
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:18:05 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6573
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:18:06 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6573
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:18:07 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6573
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:18:07 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6573
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:18:08 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6573
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:18:09 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6573
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:18:22 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6573
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:18:25 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6573
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:18:26 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6573
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:18:27 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6573
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:18:28 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6573
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:18:29 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6573
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:18:30 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6573
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:18:31 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6573
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:20:16 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6573
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:20:19 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6573
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:20:20 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6573
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:20:22 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6573
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:20:23 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6573
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:20:24 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6573
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:20:25 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6576
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:21:45 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6576
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:21:49 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6576
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:21:52 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6616
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:21:56 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6616
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:23:43 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6616
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:23:46 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6616
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:23:47 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6616
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:23:48 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6616
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:23:49 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6616
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:23:50 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6616
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:23:51 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 6616
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:23:52 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7099
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:24:28 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7099
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:24:31 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7099
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:24:32 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7099
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:24:33 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7099
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:24:34 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7099
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:24:35 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7099
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:24:36 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7099
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:24:37 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:24:39 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:24:40 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:24:41 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:24:42 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:24:42 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:24:44 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:24:44 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:24:45 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:24:46 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:24:47 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:25:58 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:26:01 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:26:02 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:26:02 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:26:03 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:26:04 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:26:05 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:26:06 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:26:07 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:35:54 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:35:59 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:36:00 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:36:01 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:36:02 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:36:04 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7781
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:36:34 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7781
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:36:37 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7781
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:36:39 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7781
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:36:40 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7781
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:36:41 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7781
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:36:41 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7781
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:36:42 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7781
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:36:44 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7605
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:36:47 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7605
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:36:47 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7605
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:36:48 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7605
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:36:49 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7605
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:36:50 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7605
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:36:50 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7605
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:36:51 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7605
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:36:52 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7605
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:38:22 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7605
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:38:26 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7605
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:38:27 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7605
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:38:28 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7605
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:38:29 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7605
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:38:30 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7605
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:38:31 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7605
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:38:32 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:39:12 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:39:15 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:39:16 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:39:17 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:39:18 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:39:19 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:39:20 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7666
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:41:55 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7666
0:0:0:0:0:0:0:1 - - [16/Apr/2023:01:41:57 +0530] "GET /Khajina_Doctor/Department-home.jsp HTTP/1.1" 200 7666
